City,Country,date,Lat,Lon,MaxTemp,WindSpeed,Clouds,Humidity
touros,BR,1600823060,-5.2,-35.46,75.2,5.82,20,83
kaitangata,NZ,1600823060,-46.28,169.85,58.12,5.66,8,73
butaritari,KI,1600823061,3.07,172.79,82.63,17.45,6,75
batticaloa,LK,1600823062,7.71,81.69,81.25,1.92,98,69
tasiilaq,GL,1600823062,65.61,-37.64,28.4,6.93,100,74
ahipara,NZ,1600823063,-35.17,173.17,63.63,12.82,12,70
jamestown,US,1600823063,42.1,-79.24,57.0,5.82,1,76
yellowknife,CA,1600822847,62.46,-114.35,53.6,10.29,20,76
punta arenas,CL,1600823064,-53.15,-70.92,42.8,16.11,75,75
nanortalik,GL,1600823064,60.14,-45.24,37.26,11.5,0,76
dasoguz,TM,1600823065,41.84,59.97,46.4,4.7,2,65
vao,NC,1600823066,-22.67,167.48,70.23,12.03,0,79
itarema,BR,1600823066,-2.92,-39.92,77.52,16.75,0,79
haverfordwest,GB,1600823066,51.8,-4.97,60.8,19.46,100,87
bredasdorp,ZA,1600823067,-34.53,20.04,42.8,2.24,0,93
marienburg,PL,1600822770,54.04,19.03,62.6,3.36,0,63
dingle,PH,1600823067,11.0,122.67,84.27,2.53,0,74
saint-philippe,RE,1600823068,-21.36,55.77,66.2,9.17,71,55
kalmunai,LK,1600822942,7.42,81.82,81.77,1.25,73,71
erdenet,MN,1600823068,49.03,104.08,43.57,2.44,30,76
malkangiri,IN,1600823069,18.35,81.9,76.53,2.3,57,91
ushuaia,AR,1600822890,-54.8,-68.3,42.8,9.17,40,70
serta,PT,1600823070,39.81,-8.1,68.0,2.71,100,93
khatanga,RU,1600823070,71.97,102.5,47.43,15.99,51,65
hermanus,ZA,1600823070,-34.42,19.23,52.0,6.76,55,93
jalu,LY,1600823071,29.03,21.55,70.36,7.45,0,57
lompoc,US,1600822991,34.64,-120.46,71.01,9.17,1,72
kruisfontein,ZA,1600823071,-34.0,24.73,48.56,3.49,0,77
kapaa,US,1600823072,22.08,-159.32,84.2,13.87,40,66
pevek,RU,1600823072,69.7,170.31,39.43,18.92,100,92
mayumba,GA,1600823073,-3.43,10.66,74.68,8.97,100,89
rikitea,PF,1600823074,-23.12,-134.97,72.9,17.85,100,74
avarua,CK,1600823074,-21.21,-159.78,80.6,14.99,100,83
northam,GB,1600823075,51.03,-4.22,57.99,3.0,100,96
kodiak,US,1600823075,57.79,-152.41,50.0,30.0,100,86
bundibugyo,UG,1600823076,0.74,30.04,66.7,2.71,77,80
christchurch,NZ,1600822994,-43.53,172.63,73.4,4.7,0,40
east london,ZA,1600823028,-33.02,27.91,60.4,2.59,0,55
urengoy,RU,1600823078,65.97,78.37,40.93,13.06,100,82
hobart,AU,1600823078,-42.88,147.33,57.2,12.75,75,54
airai,TL,1600823079,-8.93,125.41,74.95,4.59,3,52
isangel,VU,1600823080,-19.55,169.27,80.6,6.93,75,61
udimskiy,RU,1600823080,61.14,45.91,39.9,11.95,100,79
vardo,NO,1600823081,70.37,31.11,45.36,10.56,87,81
hilo,US,1600823081,19.73,-155.09,86.0,6.93,20,58
port hardy,CA,1600823082,50.7,-127.42,59.0,12.75,90,77
tuktoyaktuk,CA,1600822990,69.45,-133.04,39.2,3.06,90,86
kijang,KR,1600822819,35.24,129.21,71.6,14.99,75,60
ribeira grande,PT,1600823083,38.52,-28.7,69.33,16.93,100,88
bluff,NZ,1600823084,-46.6,168.33,57.99,5.99,12,77
vaini,TO,1600823084,-21.2,-175.2,77.0,13.87,75,78
noumea,NC,1600822966,-22.28,166.46,82.4,11.41,39,45
dwarka,IN,1600823085,22.24,68.97,82.44,14.38,30,87
porto novo,BJ,1600823085,6.5,2.6,80.6,12.75,40,83
carnarvon,AU,1600823086,-24.87,113.63,73.4,16.11,0,16
vidim,RU,1600823086,56.41,103.11,41.61,3.11,100,74
waingapu,ID,1600823087,-9.66,120.26,86.23,11.52,68,52
hithadhoo,MV,1600823047,-0.6,73.08,81.73,5.88,97,67
kysyl-syr,RU,1600823088,63.9,122.76,50.41,2.57,0,59
dunedin,NZ,1600823013,-45.87,170.5,59.0,7.0,77,70
castlegar,CA,1600823088,49.3,-117.67,70.0,1.45,92,44
ambanja,MG,1600823089,-13.68,48.45,71.24,2.01,71,82
arawa,PG,1600823089,-6.21,155.54,88.61,4.25,100,48
tingo maria,PE,1600823089,-9.29,-76.01,70.18,1.36,56,84
kariba,ZW,1600823090,-16.52,28.8,67.87,2.71,0,56
thompson,CA,1600823090,55.74,-97.86,53.6,11.41,75,62
broome,US,1600823091,42.25,-75.83,55.4,6.93,1,58
sterling,US,1600823091,39.01,-77.43,57.99,6.02,20,71
tuatapere,NZ,1600823092,-46.13,167.68,57.99,5.99,70,77
mataura,NZ,1600823092,-46.19,168.86,57.99,5.99,62,77
albany,US,1600823092,42.6,-73.97,57.99,6.8,0,44
busselton,AU,1600823093,-33.65,115.33,57.78,7.34,0,70
ilulissat,GL,1600823093,69.22,-51.1,23.0,4.65,0,73
georgetown,MY,1600822813,5.41,100.34,78.8,2.24,20,88
chokurdakh,RU,1600823094,70.63,147.92,45.82,7.54,77,77
manaure,CO,1600823094,11.78,-72.44,83.89,11.25,100,80
tocopilla,CL,1600823094,-22.09,-70.2,62.96,3.89,15,55
bull savanna,JM,1600823095,17.89,-77.59,78.98,0.74,100,77
bardsir,IR,1600823095,29.92,56.57,60.8,6.93,0,36
dabat,ET,1600823095,12.98,37.77,51.64,2.77,62,72
port elizabeth,ZA,1600823096,-33.92,25.57,44.6,6.93,0,81
clemencia,CO,1600823096,10.57,-75.33,84.2,4.7,20,74
pochutla,MX,1600823097,15.74,-96.47,82.0,4.21,0,81
atuona,PF,1600823097,-9.8,-139.03,78.55,18.84,0,72
thinadhoo,MV,1600823097,0.53,72.93,82.24,7.56,99,67
qarayeri,AZ,1600823098,40.79,46.31,64.4,4.7,90,88
safita,SY,1600823098,34.82,36.12,72.0,1.01,2,78
korla,CN,1600822989,41.76,86.15,60.01,1.7,0,82
sartell,US,1600823099,45.62,-94.21,75.2,3.36,1,60
rach gia,VN,1600823099,10.02,105.08,78.8,3.36,20,100
qasigiannguit,GL,1600823100,68.82,-51.19,23.0,2.82,0,73
morgan city,US,1600823100,29.7,-91.21,77.0,10.29,90,100
vanimo,PG,1600823101,-2.67,141.3,87.39,4.99,100,57
hamilton,US,1600822809,39.18,-84.53,64.99,1.63,1,82
sol-iletsk,RU,1600823101,51.16,54.99,52.65,15.01,99,77
beringovskiy,RU,1600823103,63.05,179.32,45.37,4.09,42,58
cape town,ZA,1600823103,-33.93,18.42,57.0,12.75,11,87
sorong,ID,1600822954,-0.88,131.25,82.92,1.81,100,73
lethem,GY,1600823105,3.38,-59.8,82.62,6.06,6,65
lunino,RU,1600823105,53.59,45.23,53.01,9.22,18,53
pulaski,US,1600822809,34.77,-92.3,64.4,6.93,90,93
port alfred,ZA,1600823106,-33.59,26.89,57.4,3.89,0,69
chuy,UY,1600823106,-33.7,-53.46,49.21,9.53,100,80
bayir,TR,1600823110,37.27,28.22,66.2,3.11,0,88
hofn,IS,1600823110,64.25,-15.21,40.96,10.51,100,65
niamey,NE,1600823110,13.51,2.11,80.6,5.82,0,78
aklavik,CA,1600823111,68.22,-135.01,44.6,2.24,75,81
axim,GH,1600823112,4.87,-2.24,75.06,10.94,100,88
copiapo,CL,1600823112,-27.37,-70.33,55.4,5.82,0,82
sinazongwe,ZM,1600823113,-17.26,27.46,72.86,10.0,0,61
byron bay,AU,1600823113,-28.65,153.62,81.0,2.24,0,53
mansa,IN,1600823114,29.98,75.38,78.55,6.46,0,78
male,MV,1600823114,4.17,73.51,80.6,10.29,75,88
russell,US,1600823115,32.35,-85.2,71.6,3.36,90,60
oeiras,BR,1600823115,-7.03,-42.13,83.41,4.07,0,31
biak,ID,1600823116,-0.91,122.88,81.93,7.23,91,72
grand gaube,MU,1600823116,-20.01,57.66,66.99,3.0,1,74
salalah,OM,1600823116,17.02,54.09,80.6,6.93,75,83
sur,OM,1600823117,22.57,59.53,81.97,0.49,81,38
dalby,AU,1600823117,-27.18,151.27,77.0,10.29,100,29
kudahuvadhoo,MV,1600823118,2.67,72.89,82.42,10.6,100,74
tarakan,ID,1600822924,3.3,117.63,80.73,7.07,100,78
gravdal,NO,1600823119,68.12,13.5,44.85,7.7,100,68
bengkulu,ID,1600823119,-3.8,102.27,80.49,5.35,35,73
puerto ayora,EC,1600823120,-0.74,-90.35,68.0,5.99,62,84
shumskiy,RU,1600823120,54.83,99.13,47.25,3.62,98,83
soe,ID,1600823121,-9.86,124.28,81.54,6.96,2,47
taldan,RU,1600823121,53.67,124.8,47.52,10.0,100,90
portree,GB,1600823121,57.41,-6.19,43.0,1.01,38,91
thatta,PK,1600822833,24.75,67.92,81.95,9.48,24,71
arman,RU,1600823122,59.7,150.17,46.51,4.16,0,54
altay,CN,1600823106,47.87,88.12,55.83,3.13,81,50
dikson,RU,1600823123,73.51,80.55,41.27,12.55,100,83
hays,US,1600823123,30.05,-98.03,73.0,5.01,84,94
timmins,CA,1600823124,48.47,-81.33,62.6,5.82,75,77
mananara,MG,1600823125,-16.17,49.77,66.18,4.74,15,87
bud,US,1600823125,39.45,-86.18,63.0,4.21,1,82
narsaq,GL,1600823125,60.92,-46.05,33.8,11.41,5,34
namibe,AO,1600823126,-15.2,12.15,63.77,3.58,39,90
cherskiy,RU,1600823126,68.75,161.3,38.28,3.47,100,91
los llanos de aridane,ES,1600823127,28.66,-17.92,75.2,10.94,100,88
kholodnyy,RU,1600823127,62.72,147.95,43.23,2.84,100,58
balotra,IN,1600823128,25.83,72.23,86.52,6.02,0,58
chingirlau,KZ,1600823128,51.09,54.08,53.64,14.92,100,75
aras,ES,1600823129,42.56,-2.36,57.2,2.8,7,82
praya,CV,1600823129,14.92,-23.51,78.8,6.93,20,94
severo-kurilsk,RU,1600823129,50.68,156.12,51.33,10.25,0,69
laguna,US,1600823130,38.42,-121.42,86.0,5.01,0,31
tura,IN,1600823130,25.52,90.22,74.34,5.55,94,98
goya,AR,1600823131,-29.14,-59.26,56.05,6.6,0,72
marabba,SD,1600823131,12.35,32.18,78.85,7.67,25,76
cabo san lucas,MX,1600823117,22.89,-109.91,88.0,11.41,20,74
atasu,KZ,1600823132,48.68,71.64,40.93,10.33,8,81
kahului,US,1600822905,20.89,-156.47,87.8,25.28,40,55
zomba,MW,1600823133,-15.39,35.32,58.41,4.34,26,94
kishanpur,IN,1600823134,25.65,81.02,78.03,6.85,100,94
belaya gora,RU,1600823134,68.53,146.42,46.11,6.93,96,74
lavrentiya,RU,1600823135,65.58,-171.0,40.42,6.91,100,85
ponta do sol,PT,1600823135,32.67,-17.1,75.2,6.93,20,73
norman wells,CA,1600823136,65.28,-126.83,60.8,5.82,40,38
mahanoro,MG,1600823136,-19.9,48.8,67.28,5.57,1,89
atambua,ID,1600823137,-9.11,124.89,85.37,2.55,0,48
avera,US,1600823138,33.19,-82.53,64.4,2.91,1,93
salinas,US,1600822908,36.68,-121.66,75.0,9.17,1,56
olafsvik,IS,1600823138,64.89,-23.71,40.19,27.74,89,78
namatanai,PG,1600823139,-3.67,152.43,84.34,4.65,97,68
lerik,AZ,1600823139,38.77,48.41,66.2,2.17,75,100
ambilobe,MG,1600823139,-13.2,49.05,69.93,4.5,79,74
krasnoselkup,RU,1600823140,65.7,82.47,41.76,16.17,100,84
